UF,municipio,idhm,idhm_educacao,idhm_longevidade,idhm_renda,classe
Rio Grande do Sul,PLANALTO,0.687,0.597,0.807,0.674,Médio Desenvolvimento Humano
Rio Grande do Sul,POÇO DAS ANTAS,0.744,0.634,0.877,0.742,Médio Desenvolvimento Humano
Rio Grande do Sul,PONTÃO,0.725,0.623,0.864,0.708,Médio Desenvolvimento Humano
Rio Grande do Sul,PONTE PRETA,0.725,0.6,0.874,0.727,Médio Desenvolvimento Humano
Rio Grande do Sul,PORTÃO,0.713,0.584,0.856,0.725,Médio Desenvolvimento Humano
Rio Grande do Sul,PORTO ALEGRE,0.805,0.702,0.857,0.867,Alto Desenvolvimento Humano
Rio Grande do Sul,PORTO LUCENA,0.693,0.575,0.827,0.7,Médio Desenvolvimento Humano
Rio Grande do Sul,PORTO MAUÁ,0.698,0.608,0.831,0.672,Médio Desenvolvimento Humano
Rio Grande do Sul,PORTO VERA CRUZ,0.69,0.6,0.827,0.661,Médio Desenvolvimento Humano
Rio Grande do Sul,PORTO XAVIER,0.723,0.628,0.876,0.687,Médio Desenvolvimento Humano
Rio Grande do Sul,POUSO NOVO,0.715,0.566,0.845,0.765,Médio Desenvolvimento Humano
Rio Grande do Sul,PRESIDENTE LUCENA,0.757,0.674,0.885,0.727,Médio Desenvolvimento Humano
Rio Grande do Sul,PROGRESSO,0.683,0.525,0.861,0.705,Médio Desenvolvimento Humano
Rio Grande do Sul,PROTÁSIO ALVES,0.733,0.609,0.839,0.771,Médio Desenvolvimento Humano
Rio Grande do Sul,PUTINGA,0.715,0.563,0.873,0.745,Médio Desenvolvimento Humano
Rio Grande do Sul,QUARAÍ,0.704,0.609,0.852,0.673,Médio Desenvolvimento Humano
Rio Grande do Sul,QUATRO IRMÃOS,0.689,0.565,0.833,0.695,Médio Desenvolvimento Humano
Rio Grande do Sul,QUEVEDOS,0.665,0.534,0.824,0.667,Médio Desenvolvimento Humano
Rio Grande do Sul,QUINZE DE NOVEMBRO,0.756,0.655,0.841,0.783,Médio Desenvolvimento Humano
Rio Grande do Sul,REDENTORA,0.631,0.523,0.792,0.606,Médio Desenvolvimento Humano
Rio Grande do Sul,RELVADO,0.731,0.588,0.868,0.765,Médio Desenvolvimento Humano
Rio Grande do Sul,RESTINGA SECA,0.683,0.542,0.828,0.709,Médio Desenvolvimento Humano
Rio Grande do Sul,RIO DOS ÍNDIOS,0.656,0.545,0.804,0.645,Médio Desenvolvimento Humano
Rio Grande do Sul,RIO GRANDE,0.744,0.637,0.861,0.752,Médio Desenvolvimento Humano
Rio Grande do Sul,RIO PARDO,0.693,0.56,0.846,0.702,Médio Desenvolvimento Humano
Rio Grande do Sul,RIOZINHO,0.661,0.472,0.885,0.69,Médio Desenvolvimento Humano
Rio Grande do Sul,ROCA SALES,0.729,0.602,0.853,0.753,Médio Desenvolvimento Humano
Rio Grande do Sul,RODEIO BONITO,0.732,0.636,0.842,0.733,Médio Desenvolvimento Humano
Rio Grande do Sul,ROLADOR,0.689,0.579,0.834,0.676,Médio Desenvolvimento Humano
Rio Grande do Sul,ROLANTE,0.688,0.553,0.83,0.708,Médio Desenvolvimento Humano
Rio Grande do Sul,RONDA ALTA,0.724,0.6,0.867,0.729,Médio Desenvolvimento Humano
Rio Grande do Sul,RONDINHA,0.764,0.678,0.842,0.78,Médio Desenvolvimento Humano
Rio Grande do Sul,ROQUE GONZALES,0.688,0.563,0.843,0.687,Médio Desenvolvimento Humano
Rio Grande do Sul,ROSÁRIO DO SUL,0.699,0.576,0.841,0.705,Médio Desenvolvimento Humano
Rio Grande do Sul,SAGRADA FAMÍLIA,0.678,0.596,0.782,0.669,Médio Desenvolvimento Humano
Rio Grande do Sul,SALDANHA MARINHO,0.762,0.706,0.841,0.745,Médio Desenvolvimento Humano
Rio Grande do Sul,SALTO DO JACUÍ,0.687,0.558,0.837,0.693,Médio Desenvolvimento Humano
Rio Grande do Sul,SALVADOR DAS MISSÕES,0.753,0.706,0.851,0.71,Médio Desenvolvimento Humano
Rio Grande do Sul,SALVADOR DO SUL,0.74,0.641,0.843,0.75,Médio Desenvolvimento Humano
Rio Grande do Sul,SANANDUVA,0.747,0.647,0.843,0.764,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTA BÁRBARA DO SUL,0.725,0.634,0.841,0.716,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTA CECÍLIA DO SUL,0.725,0.581,0.839,0.781,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTA CLARA DO SUL,0.74,0.644,0.843,0.747,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTA CRUZ DO SUL,0.773,0.693,0.852,0.782,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTA MARIA,0.784,0.715,0.848,0.795,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTA MARIA DO HERVAL,0.676,0.51,0.846,0.716,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTA MARGARIDA DO SUL,0.663,0.484,0.87,0.691,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTANA DA BOA VISTA,0.633,0.503,0.802,0.63,Médio Desenvolvimento Humano
Rio Grande do Sul,SANT'ANA DO LIVRAMENTO,0.727,0.636,0.846,0.715,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTA ROSA,0.769,0.693,0.871,0.752,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTA TEREZA,0.746,0.637,0.853,0.765,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTA VITÓRIA DO PALMAR,0.712,0.591,0.861,0.709,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTIAGO,0.766,0.682,0.882,0.746,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTO ÂNGELO,0.772,0.696,0.863,0.765,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTO ANTÔNIO DO PALMA,0.764,0.665,0.853,0.787,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTO ANTÔNIO DA PATRULHA,0.717,0.594,0.866,0.718,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTO ANTÔNIO DAS MISSÕES,0.686,0.576,0.835,0.672,Médio Desenvolvimento Humano
